
Test set: Average loss: 0.9040, Accuracy: 6378/8871 (72%)


Test set: Average loss: 0.8982, Accuracy: 6402/8871 (72%)


Test set: Average loss: 0.9125, Accuracy: 6331/8871 (71%)


Test set: Average loss: 0.9081, Accuracy: 6447/8871 (73%)


Test set: Average loss: 0.8985, Accuracy: 6408/8871 (72%)


Test set: Average loss: 0.8986, Accuracy: 6370/8871 (72%)


Test set: Average loss: 0.9078, Accuracy: 6438/8871 (73%)


Test set: Average loss: 0.9017, Accuracy: 6421/8871 (72%)


Test set: Average loss: 0.9143, Accuracy: 6330/8871 (71%)


Test set: Average loss: 0.9209, Accuracy: 6339/8871 (71%)


Test set: Average loss: 0.9089, Accuracy: 6402/8871 (72%)


Test set: Average loss: 0.9157, Accuracy: 6339/8871 (71%)


Test set: Average loss: 0.9149, Accuracy: 6414/8871 (72%)


Test set: Average loss: 0.9147, Accuracy: 6341/8871 (71%)


Test set: Average loss: 0.9219, Accuracy: 6376/8871 (72%)


Test set: Average loss: 0.9239, Accuracy: 6350/8871 (72%)


Test set: Average loss: 0.9229, Accuracy: 6322/8871 (71%)


Test set: Average loss: 0.9255, Accuracy: 6368/8871 (72%)


Test set: Average loss: 0.9326, Accuracy: 6429/8871 (72%)


Test set: Average loss: 0.9333, Accuracy: 6329/8871 (71%)


Test set: Average loss: 0.9382, Accuracy: 6199/8871 (70%)


Test set: Average loss: 0.9373, Accuracy: 6243/8871 (70%)


Test set: Average loss: 0.9137, Accuracy: 6379/8871 (72%)


Test set: Average loss: 0.9202, Accuracy: 6345/8871 (72%)


Test set: Average loss: 0.9281, Accuracy: 6417/8871 (72%)


Test set: Average loss: 0.9243, Accuracy: 6423/8871 (72%)


Test set: Average loss: 0.9344, Accuracy: 6329/8871 (71%)


Test set: Average loss: 0.9300, Accuracy: 6372/8871 (72%)


Test set: Average loss: 0.9336, Accuracy: 6326/8871 (71%)


Test set: Average loss: 0.9183, Accuracy: 6364/8871 (72%)


Test set: Average loss: 0.9255, Accuracy: 6355/8871 (72%)


Test set: Average loss: 0.9350, Accuracy: 6367/8871 (72%)


Test set: Average loss: 0.9432, Accuracy: 6280/8871 (71%)


Test set: Average loss: 0.9485, Accuracy: 6409/8871 (72%)


Test set: Average loss: 0.9435, Accuracy: 6262/8871 (71%)


Test set: Average loss: 0.9499, Accuracy: 6162/8871 (69%)


Test set: Average loss: 0.9489, Accuracy: 6264/8871 (71%)


Test set: Average loss: 0.9443, Accuracy: 6241/8871 (70%)


Test set: Average loss: 0.9443, Accuracy: 6421/8871 (72%)


Test set: Average loss: 0.9525, Accuracy: 6249/8871 (70%)


Test set: Average loss: 0.9516, Accuracy: 6320/8871 (71%)


Test set: Average loss: 0.9438, Accuracy: 6321/8871 (71%)


Test set: Average loss: 0.9398, Accuracy: 6347/8871 (72%)


Test set: Average loss: 0.9498, Accuracy: 6259/8871 (71%)


Test set: Average loss: 0.9487, Accuracy: 6283/8871 (71%)


Test set: Average loss: 0.9601, Accuracy: 6166/8871 (70%)


Test set: Average loss: 0.9666, Accuracy: 6272/8871 (71%)


Test set: Average loss: 0.9667, Accuracy: 6160/8871 (69%)


Test set: Average loss: 0.9363, Accuracy: 6336/8871 (71%)


Test set: Average loss: 0.9571, Accuracy: 6340/8871 (71%)


Test set: Average loss: 0.9498, Accuracy: 6239/8871 (70%)


Test set: Average loss: 0.9643, Accuracy: 6276/8871 (71%)


Test set: Average loss: 0.9457, Accuracy: 6340/8871 (71%)


Test set: Average loss: 0.9566, Accuracy: 6368/8871 (72%)


Test set: Average loss: 0.9693, Accuracy: 6365/8871 (72%)


Test set: Average loss: 0.9548, Accuracy: 6198/8871 (70%)


Test set: Average loss: 0.9714, Accuracy: 6054/8871 (68%)


Test set: Average loss: 0.9816, Accuracy: 6432/8871 (73%)


Test set: Average loss: 0.9674, Accuracy: 6400/8871 (72%)


Test set: Average loss: 0.9738, Accuracy: 6225/8871 (70%)


Test set: Average loss: 0.9771, Accuracy: 6324/8871 (71%)


Test set: Average loss: 0.9792, Accuracy: 6338/8871 (71%)


